id	x	y
2629	-35.52202813	-6.903441849
88	-37.30597183	-9.691515583
31	-37.18761908	-9.817283138
376	-41.84067941	-11.31266082
2638	-35.88947196	-6.999707893
2833	-35.47093652	-8.224062974
34	-36.92112594	-9.445456499
2639	-35.7796989	-7.390598689
2640	-36.48188681	-6.440342882
38	-36.74574896	-9.966389277
39	-37.53324304	-9.131538275
2641	-35.79741299	-7.594693926
41	-37.36659479	-9.466001349
25	-36.64045692	-9.749327745
2642	-35.44916668	-6.877369096
2647	-37.56132141	-7.371761043
2648	-35.61534006	-7.276131032
3165	-41.50486153	-6.822234635
29	-37.10058136	-9.705979097
3166	-40.83231934	-7.075780702
23	-37.89064526	-9.288649761
62	-36.99533704	-9.654173506
2649	-35.35475099	-7.347892626
2650	-38.18910942	-7.283974192
3055	-41.14808388	-7.021232567
2718	-35.64617406	-6.541733967
2651	-35.25836662	-6.808971369
2652	-35.64712929	-7.405809294
3773	-37.7097729	-5.978494254
205	-37.99519898	-11.67426663
212	-39.63412439	-13.03728304
2653	-35.26967073	-6.595000015
2671	-38.2052911	-7.724891059
2654	-37.81825367	-6.508813717
2670	-35.15632654	-6.719812128
4758	-37.71102422	-9.850829881
2857	-36.20108432	-8.613113504
203	-41.73082376	-13.28641262
299	-38.50867904	-11.11401529
281	-42.83042891	-14.40462128
1485	-43.66444421	-16.13562199
279	-39.18997594	-11.86907919
349	-42.2990403	-14.27903439
225	-38.21379065	-12.17702471
2597	-37.84687064	-6.398291544
206	-38.03628625	-10.56182263
207	-38.72385048	-11.83012915
2675	-35.75641332	-7.201232443
3064	-41.76935856	-6.8525159
2677	-35.76861414	-7.121788857
2678	-37.73615439	-6.546889995
2768	-35.7247325	-6.752657988
3189	-41.51556562	-7.611576267
324	-39.53474455	-12.93146362
209	-38.32862189	-12.0888412
1515	-43.0978507	-15.33571315
3066	-41.48136536	-7.410420433
2873	-36.5263166	-8.047509786
2875	-35.59096526	-7.859972428
2693	-36.669346	-7.324821906
3181	-43.08525742	-8.488155864
3182	-42.26554685	-6.661851245
2691	-36.25139064	-6.978648533
2792	-36.09761445	-8.489670446
2823	-36.16605258	-8.911226972
1618	-42.9998196	-14.80674458
3067	-43.13132746	-7.502547042
2683	-37.09227807	-7.907370903
2685	-35.5662546	-7.566782322
2686	-38.32728362	-6.945271806
2684	-35.42410179	-6.998782731
2590	-36.22183508	-7.271020302
2688	-38.01528374	-7.476454181
2591	-38.63142153	-6.822139705
2689	-36.48925051	-6.666807274
2690	-37.75820483	-7.283566234
1653	-43.25922597	-14.97152439
2695	-37.31790745	-6.994550223
2696	-37.60883168	-6.626154416
2698	-36.39701164	-6.795724897
2697	-38.07956547	-7.460037701
2563	-35.60396384	-7.059027935
2701	-37.93382001	-7.200265531
3719	-36.66571972	-6.881477331
1741	-43.67562031	-15.23431662
2824	-36.5987842	-8.686484955
1743	-43.41888856	-15.82301151
2705	-35.54942011	-6.847400525
